start_date,end_date,friendly_date,duration,room_number
2024-01-06 14:30:00,2024-01-06 18:00:00,"Jan. 06, 2:30 - 6:00PM",210.0,109
2024-01-06 14:27:45,2024-01-06 16:27:45,"Jan. 06, 2:27 - 4:27PM",120.0,033
2024-01-06 15:22:29,2024-01-06 16:22:29,"Jan. 06, 3:22 - 4:22PM",60.0,326
2024-01-06 15:37:48,2024-01-06 17:37:48,"Jan. 06, 3:37 - 5:37PM",120.0,107
2024-01-06 15:54:41,2024-01-06 17:54:41,"Jan. 06, 3:54 - 5:54PM",120.0,032
2024-01-06 16:40:51,2024-01-06 18:40:51,"Jan. 06, 4:40 - 6:40PM",120.0,324
2024-01-07 12:15:00,2024-01-07 16:15:00,"Jan. 07, 12:15 - 4:15PM",240.0,210
2024-01-07 14:00:00,2024-01-07 18:00:00,"Jan. 07, 2:00 - 6:00PM",240.0,106
2024-01-07 10:00:00,2024-01-07 14:00:00,"Jan. 07, 10:00AM - 2:00PM",240.0,106
2024-01-07 14:30:00,2024-01-07 18:30:00,"Jan. 07, 2:30 - 6:30PM",240.0,325
2024-01-07 10:00:00,2024-01-07 10:10:00,"Jan. 07, 10:00 - 10:10AM",10.0,004
2024-01-07 15:00:00,2024-01-07 15:10:00,"Jan. 07, 3:00 - 3:10PM",10.0,012
2024-01-07 17:00:00,2024-01-07 17:10:00,"Jan. 07, 5:00 - 5:10PM",10.0,108
2024-01-07 09:11:36,2024-01-07 10:11:36,"Jan. 07, 9:11 - 10:11AM",60.0,210
2024-01-07 13:00:00,2024-01-07 17:00:00,"Jan. 07, 1:00 - 5:00PM",240.0,007
2024-01-07 10:51:14,2024-01-07 12:51:14,"Jan. 07, 10:51AM - 12:51PM",120.0,209
2024-01-07 11:27:52,2024-01-07 13:27:52,"Jan. 07, 11:27AM - 1:27PM",120.0,105
2024-01-07 12:00:20,2024-01-07 14:00:20,"Jan. 07, 12:00 - 2:00PM",120.0,304
2024-01-07 13:18:42,2024-01-07 13:48:42,"Jan. 07, 1:18 - 1:48PM",30.0,326
2024-01-07 13:40:11,2024-01-07 15:40:11,"Jan. 07, 1:40 - 3:40PM",120.0,324
2024-01-07 13:51:45,2024-01-07 15:51:45,"Jan. 07, 1:51 - 3:51PM",120.0,105
2024-01-07 14:01:00,2024-01-07 14:31:00,"Jan. 07, 2:01 - 2:31PM",30.0,326
2024-01-07 14:13:33,2024-01-07 16:13:33,"Jan. 07, 2:13 - 4:13PM",120.0,108
2024-01-07 22:00:00,2024-01-08 02:00:00,"Jan. 07, 10:00 - Jan. 08, 2:00AM",240.0,106
2024-01-07 17:00:00,2024-01-07 21:00:00,"Jan. 07, 5:00 - 9:00PM",240.0,007
2024-01-07 15:02:01,2024-01-07 16:02:01,"Jan. 07, 3:02 - 4:02PM",60.0,006
