room_id,floor,capacity,room_type,equipment,layout,use_cases,accessibility,raw_description
R1124,1,4,study room,"[""screen"", ""whiteboard""]","[""study room""]",[],[],"room_id=R1124, floor=1, capacity=4, has_screen=Y, has_whiteboard=Y, room_type=Study Room"
R1125,1,4,study room,"[""screen"", ""whiteboard""]","[""study room""]",[],[],"room_id=R1125, floor=1, capacity=4, has_screen=Y, has_whiteboard=Y, room_type=Study Room"
R2103,2,2,study room,[],"[""study room""]",[],[],"room_id=R2103, floor=2, capacity=2, has_screen=N, has_whiteboard=N, room_type=Study Room"
R2109,2,2,study room,[],"[""study room""]",[],[],"room_id=R2109, floor=2, capacity=2, has_screen=N, has_whiteboard=N, room_type=Study Room"
R2111,2,2,study room,[],"[""study room""]",[],[],"room_id=R2111, floor=2, capacity=2, has_screen=N, has_whiteboard=N, room_type=Study Room"
R2117,2,2,study room,[],"[""study room""]",[],[],"room_id=R2117, floor=2, capacity=2, has_screen=N, has_whiteboard=N, room_type=Study Room"
R2119,2,2,study room,[],"[""study room""]",[],[],"room_id=R2119, floor=2, capacity=2, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3002,3,3,study room,[],"[""study room""]",[],[],"room_id=R3002, floor=3, capacity=3, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3003,3,3,study room,[],"[""study room""]",[],[],"room_id=R3003, floor=3, capacity=3, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3004,3,3,study room,[],"[""study room""]",[],[],"room_id=R3004, floor=3, capacity=3, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3007,3,4,study room,"[""screen""]","[""study room""]",[],[],"room_id=R3007, floor=3, capacity=4, has_screen=Y, has_whiteboard=N, room_type=Study Room"
R3101,3,3,study room,[],"[""study room""]",[],[],"room_id=R3101, floor=3, capacity=3, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3102,3,3,study room,[],"[""study room""]",[],[],"room_id=R3102, floor=3, capacity=3, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3105,3,3,study room,"[""screen""]","[""study room""]",[],[],"room_id=R3105, floor=3, capacity=3, has_screen=Y, has_whiteboard=N, room_type=Study Room"
R3106,3,3,study room,[],"[""study room""]",[],[],"room_id=R3106, floor=3, capacity=3, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3107,3,3,study room,[],"[""study room""]",[],[],"room_id=R3107, floor=3, capacity=3, has_screen=N, has_whiteboard=N, room_type=Study Room"
R3111,3,4,study room,"[""screen"", ""whiteboard""]","[""study room""]",[],[],"room_id=R3111, floor=3, capacity=4, has_screen=Y, has_whiteboard=Y, room_type=Study Room"
R3112,3,4,study room,"[""screen"", ""whiteboard""]","[""study room""]",[],[],"room_id=R3112, floor=3, capacity=4, has_screen=Y, has_whiteboard=Y, room_type=Study Room"
R4101,4,4,study room,[],"[""study room""]",[],[],"room_id=R4101, floor=4, capacity=4, has_screen=N, has_whiteboard=N, room_type=Study Room"
R4112,4,4,study room,"[""screen""]","[""study room""]",[],[],"room_id=R4112, floor=4, capacity=4, has_screen=Y, has_whiteboard=N, room_type=Study Room"
R4113,4,4,study room,[],"[""study room""]",[],[],"room_id=R4113, floor=4, capacity=4, has_screen=N, has_whiteboard=N, room_type=Study Room"
R4109,4,12,team room,"[""screen"", ""whiteboard""]",[],[],[],"room_id=R4109, floor=4, capacity=12, has_screen=Y, has_whiteboard=Y, room_type=Team Room"
R4110,4,12,team room,"[""screen"", ""whiteboard""]",[],[],[],"room_id=R4110, floor=4, capacity=12, has_screen=Y, has_whiteboard=Y, room_type=Team Room"
M01,4,3,multi-media booth,"[""screen""]",[],[],[],"room_id=M01, floor=4, capacity=3, has_screen=Y, has_whiteboard=N, room_type=Multi-Media Booth"
M02,4,3,multi-media booth,"[""screen""]",[],[],[],"room_id=M02, floor=4, capacity=3, has_screen=Y, has_whiteboard=N, room_type=Multi-Media Booth"
M03,4,3,multi-media booth,"[""screen""]",[],[],[],"room_id=M03, floor=4, capacity=3, has_screen=Y, has_whiteboard=N, room_type=Multi-Media Booth"
M04,4,3,multi-media booth,"[""screen""]",[],[],[],"room_id=M04, floor=4, capacity=3, has_screen=Y, has_whiteboard=N, room_type=Multi-Media Booth"
M05,4,6,multi-media booth,"[""screen""]",[],[],[],"room_id=M05, floor=4, capacity=6, has_screen=Y, has_whiteboard=N, room_type=Multi-Media Booth"
M06,4,6,multi-media booth,"[""screen""]",[],[],[],"room_id=M06, floor=4, capacity=6, has_screen=Y, has_whiteboard=N, room_type=Multi-Media Booth"
