room_id,start_time,end_time,duration_minutes,status
109,2024-01-06T14:30:00,2024-01-06T18:00:00,210,completed
033,2024-01-06T14:27:45,2024-01-06T16:27:45,120,completed
326,2024-01-06T15:22:29,2024-01-06T16:22:29,60,completed
107,2024-01-06T15:37:48,2024-01-06T17:37:48,120,completed
032,2024-01-06T15:54:41,2024-01-06T17:54:41,120,completed
324,2024-01-06T16:40:51,2024-01-06T18:40:51,120,completed
210,2024-01-07T12:15:00,2024-01-07T16:15:00,240,completed
106,2024-01-07T14:00:00,2024-01-07T18:00:00,240,completed
106,2024-01-07T10:00:00,2024-01-07T14:00:00,240,completed
325,2024-01-07T14:30:00,2024-01-07T18:30:00,240,completed
004,2024-01-07T10:00:00,2024-01-07T10:10:00,10,completed
012,2024-01-07T15:00:00,2024-01-07T15:10:00,10,completed
108,2024-01-07T17:00:00,2024-01-07T17:10:00,10,completed
210,2024-01-07T09:11:36,2024-01-07T10:11:36,60,completed
007,2024-01-07T13:00:00,2024-01-07T17:00:00,240,completed
209,2024-01-07T10:51:14,2024-01-07T12:51:14,120,completed
105,2024-01-07T11:27:52,2024-01-07T13:27:52,120,completed
304,2024-01-07T12:00:20,2024-01-07T14:00:20,120,completed
326,2024-01-07T13:18:42,2024-01-07T13:48:42,30,completed
324,2024-01-07T13:40:11,2024-01-07T15:40:11,120,completed
105,2024-01-07T13:51:45,2024-01-07T15:51:45,120,completed
326,2024-01-07T14:01:00,2024-01-07T14:31:00,30,completed
108,2024-01-07T14:13:33,2024-01-07T16:13:33,120,completed
106,2024-01-07T22:00:00,2024-01-08T02:00:00,240,completed
007,2024-01-07T17:00:00,2024-01-07T21:00:00,240,completed
006,2024-01-07T15:02:01,2024-01-07T16:02:01,60,completed
032,2024-01-07T15:03:27,2024-01-07T17:03:27,120,completed
034,2024-01-07T15:43:19,2024-01-07T17:43:19,120,completed
209,2024-01-07T17:00:00,2024-01-07T21:00:00,240,completed
105,2024-01-07T16:28:33,2024-01-07T18:28:33,120,completed
104,2024-01-07T17:24:00,2024-01-07T18:24:00,60,completed
108,2024-01-07T17:46:23,2024-01-07T19:46:23,120,completed
106,2024-01-07T18:01:57,2024-01-07T20:01:57,120,completed
325,2024-01-07T18:53:58,2024-01-07T20:53:58,120,completed
102H,2024-01-07T19:06:00,2024-01-07T19:16:00,10,completed
105,2024-01-07T19:34:15,2024-01-07T20:34:15,60,completed
108,2024-01-07T19:47:12,2024-01-07T21:47:12,120,completed
210,2024-01-07T19:50:41,2024-01-07T21:50:41,120,completed
008,2024-01-07T19:56:30,2024-01-07T21:56:30,120,completed
104,2024-01-07T21:04:56,2024-01-07T23:04:56,120,completed
004,2024-01-07T21:22:00,2024-01-07T21:32:00,10,completed
325,2024-01-07T21:28:40,2024-01-07T23:28:40,120,completed
004,2024-01-07T21:50:00,2024-01-08T01:50:00,240,completed
209,2024-01-07T21:54:34,2024-01-07T22:24:34,30,completed
227F,2024-01-08T15:30:00,2024-01-08T16:30:00,60,completed
103,2024-01-08T15:00:00,2024-01-08T16:15:00,75,completed
141,2024-01-08T14:00:00,2024-01-08T15:15:00,75,completed
210,2024-01-08T09:00:00,2024-01-08T09:10:00,10,completed
210,2024-01-08T14:15:00,2024-01-08T16:15:00,120,completed
010,2024-01-08T14:15:00,2024-01-08T15:45:00,90,completed
209,2024-01-08T13:35:00,2024-01-08T17:35:00,240,completed
326,2024-01-08T17:30:00,2024-01-08T17:40:00,10,completed
004,2024-01-08T13:00:00,2024-01-08T16:00:00,180,completed
013,2024-01-08T11:00:00,2024-01-08T15:00:00,240,completed
109,2024-01-08T14:40:00,2024-01-08T15:40:00,60,completed
106,2024-01-08T10:40:00,2024-01-08T11:40:00,60,completed
004,2024-01-08T19:45:00,2024-01-08T19:55:00,10,completed
008,2024-01-08T08:00:00,2024-01-08T08:10:00,10,completed
006,2024-01-08T17:30:00,2024-01-08T17:40:00,10,completed
007,2024-01-08T09:40:00,2024-01-08T13:00:00,200,completed
007,2024-01-08T09:00:00,2024-01-08T09:10:00,10,completed
007,2024-01-08T13:00:00,2024-01-08T16:00:00,180,completed
004,2024-01-08T11:00:00,2024-01-08T11:10:00,10,completed
005,2024-01-08T20:00:00,2024-01-08T20:10:00,10,completed
325,2024-01-08T10:00:00,2024-01-08T10:10:00,10,completed
012,2024-01-08T14:30:00,2024-01-08T16:30:00,120,completed
013,2024-01-08T18:20:00,2024-01-08T20:50:00,150,completed
008,2024-01-08T14:20:00,2024-01-08T18:20:00,240,completed
104,2024-01-08T13:00:00,2024-01-08T17:00:00,240,completed
104,2024-01-08T11:00:00,2024-01-08T11:10:00,10,completed
106,2024-01-08T18:00:00,2024-01-08T18:10:00,10,completed
108,2024-01-08T10:00:00,2024-01-08T10:10:00,10,completed
326,2024-01-08T09:00:00,2024-01-08T13:00:00,240,completed
326,2024-01-08T13:00:00,2024-01-08T17:00:00,240,completed
324,2024-01-08T19:00:00,2024-01-08T19:10:00,10,completed
006,2024-01-08T13:45:00,2024-01-08T13:55:00,10,completed
009,2024-01-08T13:00:00,2024-01-08T13:10:00,10,completed
005,2024-01-08T15:00:00,2024-01-08T19:00:00,240,completed
