room_id,floor,capacity,room_type,equipment,layout,use_cases,accessibility,raw_description
4,,6,general purpose room,[],[],[],[],"room_id=004, Capacity=6.0"
5,,8,general purpose room,[],[],[],[],"room_id=005, Capacity=8.0"
6,,6,general purpose room,[],[],[],[],"room_id=006, Capacity=6.0"
7,,6,general purpose room,[],[],[],[],"room_id=007, Capacity=6.0"
8,,6,general purpose room,[],[],[],[],"room_id=008, Capacity=6.0"
9,,6,general purpose room,[],[],[],[],"room_id=009, Capacity=6.0"
10,,6,general purpose room,[],[],[],[],"room_id=010, Capacity=6.0"
11,,6,general purpose room,[],[],[],[],"room_id=011, Capacity=6.0"
12,,6,general purpose room,[],[],[],[],"room_id=012, Capacity=6.0"
13,,6,general purpose room,[],[],[],[],"room_id=013, Capacity=6.0"
32,,8,general purpose room,[],[],[],[],"room_id=032, Capacity=8.0"
33,,8,general purpose room,[],[],[],[],"room_id=033, Capacity=8.0"
34,,8,general purpose room,[],[],[],[],"room_id=034, Capacity=8.0"
35,,10,general purpose room,[],[],[],[],"room_id=035, Capacity=10.0"
102H,,6,general purpose room,[],[],[],[],"room_id=102H, Capacity=6.0"
103,,0,general purpose room,[],[],[],[],"room_id=103, Capacity=0.0"
104,,6,general purpose room,[],[],[],[],"room_id=104, Capacity=6.0"
105,,6,general purpose room,[],[],[],[],"room_id=105, Capacity=6.0"
106,,6,general purpose room,[],[],[],[],"room_id=106, Capacity=6.0"
107,,6,general purpose room,[],[],[],[],"room_id=107, Capacity=6.0"
108,,6,general purpose room,[],[],[],[],"room_id=108, Capacity=6.0"
109,,6,general purpose room,[],[],[],[],"room_id=109, Capacity=6.0"
129,,60,general purpose room,[],[],[],[],"room_id=129, Capacity=60.0"
131,,16,general purpose room,[],[],[],[],"room_id=131, Capacity=16.0"
132,,16,general purpose room,[],[],[],[],"room_id=132, Capacity=16.0"
133,,30,general purpose room,[],[],[],[],"room_id=133, Capacity=30.0"
134,,20,general purpose room,[],[],[],[],"room_id=134, Capacity=20.0"
141,,12,general purpose room,[],[],[],[],"room_id=141, Capacity=12.0"
203,,30,general purpose room,[],[],[],[],"room_id=203, Capacity=30.0"
205,,78,general purpose room,[],[],[],[],"room_id=205, Capacity=78.0"
206,,21,general purpose room,[],[],[],[],"room_id=206, Capacity=21.0"
209,,6,general purpose room,[],[],[],[],"room_id=209, Capacity=6.0"
210,,6,general purpose room,[],[],[],[],"room_id=210, Capacity=6.0"
216,,,general purpose room,[],[],[],[],room_id=216
227F,,8,general purpose room,[],[],[],[],"room_id=227F, Capacity=8.0"
234,,16,general purpose room,[],[],[],[],"room_id=234, Capacity=16.0"
303,,6,general purpose room,[],[],[],[],"room_id=303, Capacity=6.0"
304,,6,general purpose room,[],[],[],[],"room_id=304, Capacity=6.0"
316,,100,general purpose room,[],[],[],[],"room_id=316, Capacity=100.0"
327,,32,general purpose room,[],[],[],[],"room_id=327, Capacity=32.0"
330C,,,general purpose room,[],[],[],[],room_id=330C
330D,,,general purpose room,[],[],[],[],room_id=330D
324,,6,general purpose room,[],[],[],[],"room_id=324, Capacity=6.0"
325,,8,general purpose room,[],[],[],[],"room_id=325, Capacity=8.0"
326,,8,general purpose room,[],[],[],[],"room_id=326, Capacity=8.0"
ARCADE,,,general purpose room,[],[],[],[],room_id=Arcade
